player,total,won,lost,goals
Vojta1,32,8,24,200
Vojta2,52,37,14,432
Krystof,38,21,16,304
Vdolek,11,4,7,87
Marta,46,20,25,326
Vanan,57,29,27,427
Marek,26,10,16,184
Panek,5,3,2,40
Klizka,3,1,2,17
-_-,2,1,1,20
Roman,32,16,15,238
Filip,34,15,18,230
Michal,22,8,14,157
Skleny,5,4,1,47
David,15,6,9,99
Gibon,7,7,0,71
Fida,3,2,1,25
