player,total,won,lost,goals
Vojta2,24,18,5,204
Panek,5,3,2,40
Roman,8,4,3,59
Marek,8,2,6,45
Michal,4,3,1,37
-_-,2,1,1,20
Filip,13,4,8,82
Marta,19,8,10,133
Vojta1,12,5,7,90
Vdolek,9,2,7,67
Krystof,18,8,9,144
Vanan,19,10,8,145
Klizka,3,1,2,17
